Date,Description,Amount,Balance
9/19/2023 12:56PM,UGRYD 5900 Vending,-4.00,1311.28
9/19/2023 12:40PM,Panther Grocery 74,-8.38,1315.28
9/19/2023 09:23AM,UGRYD 5900 Vending,-4.00,1323.66
9/18/2023 11:15PM,UGRYD 5900 Vending,-3.85,1327.66
9/18/2023 08:40PM,UGRYD 5900 Vending,-4.00,1331.51
9/18/2023 03:39PM,Panther Grocery 74,-6.59,1335.51
9/18/2023 08:30AM,Panther Grocery 74,-5.29,1342.10
9/18/2023 06:32AM,UGRYD 5900 Vending,-4.10,1347.39
9/17/2023 09:20PM,UGRYD 5900 Vending,-3.85,1351.49
9/17/2023 03:28PM,Panther Grocery 74,-1.18,1355.34
9/17/2023 11:10AM,Panther Dining 70 WS6,-9.50,1356.52
9/16/2023 03:43PM,Panther Grocery 74,-11.15,1366.02
9/16/2023 09:39AM,UGRYD 5900 Vending,-4.10,1377.17
9/15/2023 04:34PM,UGRYD 5900 Vending,-4.10,1381.27
9/15/2023 10:56AM,Panther Grocery 74,-11.07,1385.37
9/14/2023 10:05PM,UGRYD 5900 Vending,-3.85,1396.44
9/14/2023 10:04PM,UGRYD 5900 Vending,-3.85,1400.29
9/14/2023 01:50PM,Panther Grocery 74,-6.38,1404.14
9/14/2023 09:14AM,Panther Grocery 74,-6.78,1410.52
9/13/2023 03:55PM,Panther Grocery 74,-8.27,1417.30
9/13/2023 10:59AM,Panther Grocery 74,-7.48,1425.57
9/13/2023 09:54AM,UGRYD 5900 Vending,-4.00,1433.05
9/12/2023 03:22PM,Panther Grocery 74,-6.78,1437.05
9/12/2023 08:59AM,UGRYD 5900 Vending,-3.85,1443.83
9/12/2023 08:59AM,UGRYD 5900 Vending,-3.85,1447.68
9/11/2023 06:10PM,UGRYD 5900 Vending,-4.00,1451.53
9/11/2023 11:15AM,Panther Grocery 74,-10.37,1455.53
9/10/2023 01:34PM,Panther Grocery 74,-5.58,1465.90
9/10/2023 12:13PM,Panther Dining 70 WS6,-9.50,1471.48
9/09/2023 04:17PM,Panther Grocery 74,-10.65,1480.98
9/09/2023 12:49PM,Panther Grocery 74,-5.98,1491.63
9/09/2023 11:39AM,Panther Grocery 74,-3.19,1497.61
9/08/2023 11:01AM,Panther Grocery 74,-14.16,1500.80
9/08/2023 08:46AM,Panther Grocery 74,-3.19,1514.96
9/07/2023 03:21PM,Panther Grocery 74,-6.28,1518.15
9/07/2023 09:16AM,Panther Grocery 74,-10.26,1524.43
9/06/2023 06:29PM,Panther Grocery 74,-10.36,1534.69
9/06/2023 04:42PM,UGRYD 5900 Vending,-2.75,1545.05
9/06/2023 10:58AM,Panther Grocery 74,-7.87,1547.80
9/06/2023 08:07AM,UGRYD 5900 Vending,-4.10,1555.67
9/05/2023 10:32PM,Rat Main Line 83,-1.69,1559.77
9/05/2023 10:31PM,Rat Main Line 83,-12.39,1561.46
9/05/2023 04:44PM,Panther Grocery 74,-1.39,1573.85
9/05/2023 01:50PM,Panther Grocery 74,-9.37,1575.24
9/05/2023 10:49AM,Panther Grocery 74,-6.18,1584.61
9/05/2023 09:29AM,UGRYD 5900 Vending,-4.00,1590.79
9/04/2023 04:30PM,Panther Grocery 74,-7.08,1594.79
9/04/2023 10:56AM,Panther Grocery 74,-9.57,1601.87
9/04/2023 01:12AM,UGRYD 5900 Vending,-3.85,1611.44
9/04/2023 01:12AM,UGRYD 5900 Vending,-6.35,1615.29
9/03/2023 02:30PM,Panther Dining 70 WS6,-9.50,1621.64
9/02/2023 10:16PM,Rat Main Line 83,-15.08,1631.14
9/02/2023 10:54AM,Panther Grocery 74,-14.76,1646.22
9/01/2023 04:53PM,Panther Grocery 74,-9.18,1660.98
9/01/2023 11:02AM,Panther Grocery 74,-8.58,1670.16
8/31/2023 01:50PM,Panther Grocery 74,-9.37,1678.74
8/31/2023 09:03AM,UGRYD 5900 Vending,-4.10,1688.11
8/31/2023 08:26AM,Panther Grocery 74,-5.29,1692.21
8/31/2023 12:07AM,UGRYD 5900 Vending,-3.85,1697.50
8/30/2023 06:50PM,UGRYD 5900 Vending,-4.00,1701.35
8/30/2023 10:57AM,Panther Grocery 74,-8.87,1705.35
8/29/2023 10:04PM,Rat Main Line 83,-19.68,1714.22
8/29/2023 03:21PM,Panther Grocery 74,-3.19,1733.90
8/29/2023 01:34PM,Panther Grocery 74,-12.57,1737.09
8/29/2023 09:25AM,UGRYD 5900 Vending,-4.00,1749.66
8/28/2023 05:17PM,Panther Grocery 74,-10.34,1753.66
8/28/2023 11:24AM,Panther Grocery 74,-10.97,1764.00
8/27/2023 04:05PM,Panther Grocery 74,-3.24,1774.97
8/27/2023 03:19PM,UGRYD 5900 Vending,-2.85,1778.21
8/27/2023 12:38PM,Panther Dining 70 WS6,-9.50,1781.06
8/27/2023 02:59AM,UGRYD 5900 Vending,-2.60,1790.56
8/27/2023 02:00AM,UGRYD 5900 Vending,-2.25,1793.16
8/26/2023 10:16PM,Rat Main Line 83,-9.88,1795.41
8/26/2023 06:16PM,Panther Grocery 72,-8.75,1805.29
8/21/2023 08:53PM,Panther Grocery 74,-5.66,1814.04
8/21/2023 06:40PM,Panther Dining 70 WS6,-10.50,1819.70
8/21/2023 11:05AM,Panther Grocery 74,-14.76,1830.20
8/20/2023 06:20PM,Panther Dining 70 WS6,-10.50,1844.96
8/20/2023 11:44AM,Panther Grocery 74,-20.34,1855.46
8/19/2023 11:28AM,Panther Grocery 74,-7.43,1875.80
8/19/2023 12:32AM,UGRYD 5900 Vending,-3.85,1883.23
8/19/2023 12:32AM,UGRYD 5900 Vending,-3.85,1887.08
8/18/2023 03:26PM,Panther Grocery 72,-9.07,1890.93
7/24/2023 02:48PM,PatronImport Location - Credit,1900.00,1900.00
5/10/2023 03:05PM,PatronImport Location - SV&C Plan Sell,-2.63,0.00
5/03/2023 09:12AM,AERO Einstein Bagels 91,-2.39,2.63
5/02/2023 09:55PM,UGRYD 5900 Vending,-3.10,5.02
5/02/2023 09:54PM,UGRYD 5900 Vending,-3.85,8.12
5/02/2023 08:49AM,AERO Einstein Bagels 92,-5.09,11.97
5/01/2023 11:57PM,UGRYD 5900 Vending,-7.25,17.06
5/01/2023 08:20PM,UGRYD 5900 Vending,-2.25,24.31
5/01/2023 03:55PM,AERO Firehouse 96,-2.99,26.56
5/01/2023 02:50PM,Panther Grocery 74,-7.16,29.55
5/01/2023 08:46AM,AERO Einstein Bagels 92,-9.48,36.71
4/30/2023 11:16PM,UGRYD 5900 Vending,-5.00,46.19
4/30/2023 11:16PM,UGRYD 5900 Vending,-4.10,51.19
4/30/2023 04:02PM,Panther Grocery 74,-6.98,55.29
4/30/2023 11:16AM,UGRYD 5900 Vending,-4.00,62.27
4/29/2023 06:48PM,Panther Dining 70 WS6,-10.00,66.27
4/29/2023 04:38PM,UGRYD 5900 Vending,-2.70,76.27
4/29/2023 02:25PM,UGRYD 5900 Vending,-3.85,78.97
4/29/2023 09:47AM,UGRYD 5900 Vending,-4.00,82.82
4/29/2023 09:02AM,Panther Grocery 74,-1.89,86.82
4/28/2023 02:33PM,Panther Grocery 74,-7.18,88.71
4/27/2023 01:03PM,UGRYD 5900 Vending,-3.75,95.89
4/27/2023 12:56PM,Panther Grocery 74,-15.16,99.64
4/26/2023 06:20PM,Panther Grocery 74,-5.58,114.80
4/26/2023 03:06PM,Panther Grocery 74,-13.67,120.38
4/25/2023 03:13PM,Panther Grocery 74,-7.48,134.05
4/25/2023 01:54PM,Panther Grocery 74,-1.79,141.53
4/25/2023 12:59PM,Panther Grocery 74,-7.18,143.32
4/25/2023 11:12AM,Center Court 76,-5.35,150.50
4/24/2023 09:42PM,UGRYD 5900 Vending,-3.85,155.85
4/24/2023 09:42PM,UGRYD 5900 Vending,-3.85,159.70
4/24/2023 07:25PM,Panther Grocery 74,-2.39,163.55
4/24/2023 06:27PM,UGRYD 5900 Vending,-3.85,165.94
4/21/2023 01:01PM,UGRYD 5900 Vending,-4.00,169.79
4/21/2023 01:26AM,UGRYD 5900 Vending,-3.85,173.79
4/21/2023 01:25AM,UGRYD 5900 Vending,-3.85,177.64
4/21/2023 01:25AM,UGRYD 5900 Vending,-3.85,181.49
4/21/2023 01:23AM,UGRYD 5900 Vending,-3.75,185.34
4/21/2023 01:20AM,UGRYD 5900 Vending,-3.75,189.09
4/21/2023 01:18AM,UGRYD 5900 Vending,-3.75,192.84
4/21/2023 01:17AM,UGRYD 5900 Vending,-3.75,196.59
4/21/2023 01:17AM,UGRYD 5900 Vending,-3.75,200.34
4/20/2023 03:16PM,UGRYD 5900 Vending,-2.25,204.09
4/20/2023 11:51AM,UGRYD 5900 Vending,-4.00,206.34
4/19/2023 06:23PM,Panther Grocery 74,-1.89,210.34
4/19/2023 02:50PM,UGRYD 5900 Vending,-3.85,212.23
4/19/2023 02:48PM,UGRYD 5900 Vending,-3.85,216.08
4/19/2023 10:58AM,UGRYD 5900 Vending,-4.00,219.93
4/18/2023 01:00PM,Panther Grocery 74,-1.19,223.93
4/18/2023 12:54PM,UGRYD 5900 Vending,-3.75,225.12
4/18/2023 12:53PM,UGRYD 5900 Vending,-3.75,228.87
4/18/2023 10:36AM,UGRYD 5900 Vending,-4.00,232.62
4/17/2023 06:27PM,Panther Grocery 74,-13.16,236.62
4/17/2023 04:38PM,Center Court 76,-5.95,249.78
4/17/2023 01:59PM,UGRYD 5900 Vending,-4.00,255.73
4/17/2023 12:00PM,Panther Grocery 74,-1.89,259.73
4/17/2023 10:50AM,UGRYD 5900 Vending,-3.75,261.62
4/17/2023 10:49AM,UGRYD 5900 Vending,-3.75,265.37
4/16/2023 09:30PM,UGRYD 5900 Vending,-7.50,269.12
4/15/2023 11:36PM,UGRYD 5900 Vending,-3.85,276.62
4/15/2023 11:35PM,UGRYD 5900 Vending,-3.85,280.47
4/15/2023 01:16AM,UGRYD 5900 Vending,-3.50,284.32
4/15/2023 01:14AM,UGRYD 5900 Vending,-6.00,287.82
4/15/2023 01:11AM,UGRYD 5900 Vending,-4.45,293.82
4/14/2023 07:51PM,UGRYD 5900 Vending,-7.50,298.27
4/14/2023 06:08PM,Panther Grocery 74,-11.47,305.77
4/14/2023 04:21PM,UGRYD 5900 Vending,-2.35,317.24
4/14/2023 02:19PM,UGRYD 5900 Vending,-4.00,319.59
4/14/2023 10:44AM,UGRYD 5900 Vending,-4.00,323.59
4/13/2023 11:11PM,UGRYD 5900 Vending,-7.50,327.59
4/13/2023 11:09PM,UGRYD 5900 Vending,-2.35,335.09
4/13/2023 03:03PM,UGRYD 5900 Vending,-3.75,337.44
4/13/2023 11:54AM,UGRYD 5900 Vending,-4.00,341.19
4/12/2023 11:32PM,UGRYD 5900 Vending,-3.75,345.19
4/12/2023 11:31PM,UGRYD 5900 Vending,-3.75,348.94
4/12/2023 06:26PM,Panther Grocery 74,-4.28,352.69
4/12/2023 03:01PM,Panther Grocery 74,-2.59,356.97
4/12/2023 12:51PM,UGRYD 5900 Vending,-3.75,359.56
4/11/2023 11:55PM,UGRYD 5900 Vending,-3.85,363.31
4/11/2023 11:54PM,UGRYD 5900 Vending,-3.85,367.16
4/11/2023 03:03PM,UGRYD 5900 Vending,-3.75,371.01
4/11/2023 12:58PM,Panther Grocery 74,-2.29,374.76
4/11/2023 02:24AM,UGRYD 5900 Vending,-3.75,377.05
4/10/2023 11:17PM,UGRYD 5900 Vending,-7.50,380.80
4/10/2023 06:29PM,Panther Grocery 74,-4.58,388.30
4/10/2023 01:55PM,UGRYD 5900 Vending,-4.00,392.88
4/10/2023 11:55AM,UGRYD 5900 Vending,-2.85,396.88
4/10/2023 10:51AM,Panther Grocery 74,-2.39,399.73
4/10/2023 01:17AM,UGRYD 5900 Vending,-3.85,402.12
4/10/2023 01:16AM,UGRYD 5900 Vending,-4.10,405.97
4/09/2023 07:49PM,Panther Grocery 74,-6.79,410.07
4/09/2023 04:52PM,UGRYD 5900 Vending,-3.85,416.86
4/09/2023 04:52PM,UGRYD 5900 Vending,-3.85,420.71
4/09/2023 04:50PM,UGRYD 5900 Vending,-4.10,424.56
4/09/2023 10:57AM,UGRYD 5900 Vending,-4.10,428.66
4/09/2023 12:48AM,UGRYD 5900 Vending,-3.75,432.76
4/08/2023 08:21PM,UGRYD 5900 Vending,-4.10,436.51
4/08/2023 08:19PM,UGRYD 5900 Vending,-3.75,440.61
4/08/2023 08:18PM,UGRYD 5900 Vending,-3.75,444.36
4/08/2023 06:05PM,Panther Grocery 74,-11.91,448.11
4/08/2023 02:33AM,UGRYD 5900 Vending,-2.25,460.02
4/08/2023 02:33AM,UGRYD 5900 Vending,-2.25,462.27
4/07/2023 11:19PM,UGRYD 5900 Vending,-2.25,464.52
4/07/2023 11:18PM,UGRYD 5900 Vending,-3.75,466.77
4/07/2023 11:18PM,UGRYD 5900 Vending,-3.75,470.52
4/07/2023 06:23PM,Panther Grocery 74,-2.29,474.27
4/07/2023 04:37PM,UGRYD 5900 Vending,-3.85,476.56
4/07/2023 04:37PM,UGRYD 5900 Vending,-2.85,480.41
4/07/2023 10:58AM,UGRYD 5900 Vending,-4.10,483.26
4/07/2023 02:06AM,UGRYD 5900 Vending,-3.75,487.36
4/07/2023 02:05AM,UGRYD 5900 Vending,-3.75,491.11
4/06/2023 03:18PM,UGRYD 5900 Vending,-3.75,494.86
4/05/2023 06:34PM,Panther Grocery 74,-4.28,498.61
4/05/2023 04:53PM,UGRYD 5900 Vending,-4.00,502.89
4/05/2023 03:04PM,UGRYD 5900 Vending,-3.75,506.89
4/05/2023 12:58PM,UGRYD 5900 Vending,-7.50,510.64
4/05/2023 02:00AM,UGRYD 5900 Vending,-2.25,518.14
4/04/2023 04:55PM,UGRYD 5900 Vending,-3.75,520.39
4/04/2023 04:54PM,UGRYD 5900 Vending,-3.75,524.14
4/04/2023 03:06PM,Panther Grocery 74,-2.29,527.89
4/04/2023 01:09PM,UGRYD 5900 Vending,-2.25,530.18
4/04/2023 09:53AM,UGRYD 5900 Vending,-4.10,532.43
4/04/2023 12:14AM,UGRYD 5900 Vending,-2.25,536.53
4/03/2023 10:15PM,UGRYD 5900 Vending,-4.10,538.78
4/03/2023 09:05PM,UGRYD 5900 Vending,-3.75,542.88
4/03/2023 09:04PM,UGRYD 5900 Vending,-3.75,546.63
4/03/2023 03:03PM,UGRYD 5900 Vending,-4.10,550.38
4/03/2023 02:53PM,Panther Grocery 74,-12.76,554.48
4/03/2023 12:27PM,UGRYD 5900 Vending,-3.75,567.24
4/02/2023 11:56PM,UGRYD 5900 Vending,-2.25,570.99
4/02/2023 10:58PM,UGRYD 5900 Vending,-2.25,573.24
4/02/2023 06:58PM,UGRYD 5900 Vending,-3.75,575.49
4/02/2023 06:57PM,UGRYD 5900 Vending,-3.75,579.24
4/02/2023 06:30PM,UGRYD 5900 Vending,-4.10,582.99
4/02/2023 05:26PM,UGRYD 5900 Vending,-2.85,587.09
4/02/2023 03:49PM,Panther Grocery 74,-4.38,589.94
